Code UIC;uic7;Libelle point d'arret;Libelle;Libelle STIF (info voyageurs);Libelle SMS gare;Nom Gare;Adresse;Code INSEE commune;Commune;X (Lambert II etendu);Y (Lambert II etendu);Coord GPS (WGS84);Zone Navigo;Gare non SNCF
87113803;871138;LES YVRIS - NOISY LE GRAND;LES YVRIS NOISY LE GRAND;GARE DES YVRIS NOISY LE GRAND;Les Yvris;Noisy-le-Grand Les Yvris;avenue du bois St Martin 93160 Noisy le Grand;93051;Noisy-le-Grand;617874.0;2425006.0;48.8231906883, 2.57979540155;4.0;0.0
87116012;871160;GRETZ ARMAINVILLIERS;GRETZ ARMAINVILLIERS;GARE DE GRETZ ARMAINVILLIERS;Gretz;Gretz-Armainvilliers;Avenue de la Liberté 77220 Gretz-Armainvilliers;77215;Gretz-Armainvilliers;628860.0;2416398.0;48.7454247254, 2.72874414729;5.0;0.0
87001479;870014;AEROPORT CHARLES DE GAULLE 2 TGV - Roissy;AEROPORT CHARLES DE GAULLE 2 TGV;AEROPORT CDG 2 TGV;Roissy CDG 2;Aéroport Charles-de-Gaulle 2 RER;;93073;Tremblay-en-France;617208.0;2445134.0;49.0040985205, 2.57154696503;5.0;0.0
87113852;871138;LES PAVILLONS SOUS BOIS (T4);LES PAVILLONS SOUS BOIS;LES PAVILLONS SOUS BOIS T4;;Les Pavillons-sous-Bois;Boulevard Louis Pasteur 93320 Les Pavillons sous Bois;93057;Les Pavillons-sous-Bois;612830.0;2433772.0;48.9020940307, 2.51140436982;4.0;0.0
87113514;871135;GAGNY;GAGNY;GARE DE GAGNY;Gagny;Gagny;Place de Verdun 93220 Gagny;93032;Gagny;613963.0;2431681.0;48.8832783553, 2.52678071322;4.0;0.0
87113795;871137;VILLIERS SUR MARNE PLESSIS TREVISE;VILLIERS SUR MARNE PLESSIS TREVISE;GARE DE VILLIERS SUR MARNE PLESSIS TREVISE;Villiers;Villiers-sur-Marne - Le Plessis-Trévise;place Pierre Sémard 94350 VILLIERS-SUR-MARNE;94079;Villiers-sur-Marne;615121.0;2424997.0;48.8231802547, 2.54232320839;4.0;0.0
87113779;871137;LES BOULLEREAUX CHAMPIGNY;LES BOULLEREAUX CHAMPIGNY;GARE DES BOULLEREAUX CHAMPIGNY;Boullereaux;Les Boullereaux Champigny;Avenue Danielle Casanova 94500 Champigny sur Marne;94017;Champigny-sur-Marne;612900.0;2425186.0;48.8249271629, 2.51209824083;3.0;0.0
87116509;871165;CHANGIS SAINT-JEAN;CHANGIS SAINT-JEAN;GARE DE CHANGIS ST JEAN;Changis St J;Changis-sur-Marne - Saint-Jean-les-Deux-Jumeaux;place de la Gare 77660 CHANGIS-SUR-MARNE;77084;Changis-sur-Marne;650494.0;2440348.0;48.9593340234, 3.0256113065;5.0;0.0
87271163;872711;PIERREFITTE STAINS;PIERREFITTE STAINS;GARE DE PIERREFITTE STAINS;Pierrefitte;Pierrefitte-sur-Seine - Stains;1 Place du Général Leclerc 93380 Pierrefite sur Seine;93059;Pierrefitte-sur-Seine;602614.0;2440660.0;48.9641176453, 2.37218092579;4.0;0.0
87116616;871166;ISLES ARMENTIERES CONGIS;ISLES ARMENTIERES CONGIS;GARE D'ISLES ARMENTIERES CONGIS;;Iles-les-Meldeuses - Armentière-en-Brie - Congis-sur-Thérouanne;Rue de la gare 77440 Isles-les-Meldeuses;77231;Isles-les-Meldeuses;649130.0;2444652.0;48.9981165045, 3.00749816426;5.0;0.0
87271171;872711;LA BARRE ORMESSON;LA BARRE ORMESSON;GARE DE LA BARRE ORMESSON;La Barre O.;La Barre Ormesson;2? Rue de la Concorde, 95170 Deuil La Barre;95197;Deuil-la-Barre;598544.0;2440910.0;48.9663676293, 2.31663105732;4.0;0.0
87115873;871158;CHAMPBENOIST POIGNY;CHAMPBENOIST POIGNY;GARE DE CHAMPBENOIST POIGNY;Champbenoist;Champbenoist Poigny;Rue de Champbenoist, 77160 Provins;77368;Poigny;670207.0;2394493.0;48.5453574035, 3.28705609292;5.0;0.0
87271015;872710;SAINT-DENIS;SAINT-DENIS;GARE DE ST DENIS;St Denis;Saint-Denis;Rue Ambroise Croizat 93200 St Denis;93066;Saint-Denis;600696.0;2437396.0;48.9347897043, 2.34599834644;3.0;0.0
87116400;871164;MONTRY CONDE;MONTRY CONDE;GARE DE MONTRY CONDE;;Montry - Condé-Sainte-Libiaire;Avenue du Maréchal Foch 77450 Montry;77315;Montry;635932.0;2432614.0;48.8908111565, 2.8262287351;5.0;0.0
87113860;871138;GARGAN (T4);GARGAN;GARGAN;;Livry-Gargan;Boulevard Louis Pasteur 93320 Les Pavillons sous Bois;93057;Livry-Gargan;613259.0;2434455.0;48.9082235013, 2.51727383269;4.0;0.0
87113886;871138;L'ABBAYE (T4);L'ABBAYE;L ABBAYE;;L'Abbaye;Avenue de la Gare de l'Abbaye, 93600 Livry-Gargan;93046;Livry-Gargan;613225.0;2436020.0;48.922288819, 2.51685904559;4.0;0.0
87116582;871165;CHATEAU THIERRY;CHATEAU THIERRY;GARE DE CHATEAU THIERRY;;Château-Thierry;;2168;Château-Thierry;678496.0;2449406.0;49.0379095539, 3.409410548;100.0;0.0
87545459;875454;LA NORVILLE SAINT-GERMAIN LES ARPAJON;LA NORVILLE SAINT-GERMAIN LES ARPAJON;GARE DE LA NORVILLE ST GERMAIN LES ARPAJON;La Norville;La Norville - Saint-Germain-lès-Arpajon;Rue de la Gare 91290 La Norville;91457;La Norville;594901.0;2399217.0;48.5916132336, 2.2674134527;5.0;0.0
87681635;876816;LE COUDRAY MONTCEAUX;LE COUDRAY MONTCEAUX;GARE DE COUDRAY MONTCEAUX;Coudray Mont;Le Coudray-Montceaux;Avenue du Coudray, Place de la Gare 91830 Le Coudray Montceaux;91179;Le Coudray-Montceaux;611535.0;2396417.0;48.5663615548, 2.4927434828;5.0;0.0
87681601;876816;ESSONNES ROBINSON;ESSONNES ROBINSON;GARE D'ESSONNES ROBINSON;Essonnes R.;Corbeil-Essonnes Robinson;Bld Combes Marnes, 91100 Corbeil Essonnes;91174;Corbeil-Essonnes;609442.0;2400852.0;48.6062628825, 2.46449251607;5.0;0.0
87545350;875453;SAINT-MARTIN D'ETAMPES;SAINT-MARTIN D'ETAMPES;GARE DE ST MARTIN D ETAMPES;St Martin;Saint-Martin d'Étampes;Rue Salvador Allende 91150 Etampes;91223;Etampes;585838.0;2380987.0;48.427593794, 2.14520579403;5.0;0.0
87681452;876814;LA FERTE ALAIS;LA FERTE ALAIS;GARE DE LA FERTE ALAIS;Ferté Alais;La Ferté-Alais;14 Avenue G. Leclerc 91590 La Fertais Alais;91232;La Ferté-Alais;601125.0;2387328.0;48.4847554433, 2.35172443157;5.0;0.0
87682104;876821;MONTGERON CROSNE;MONTGERON CROSNE;GARE DE MONTGERON CROSNE;Montgeron C.;Montgeron - Crosne;Place Joseph Piette;91421;Montgeron;609261.0;2412174.0;48.7080369018, 2.46228325227;4.0;0.0
87608802;876088;CRETEIL POMPADOUR;CRETEIL POMPADOUR;GARE DE CRETEIL POMPADOUR;Creteil Pomp;Créteil Pompadour;Chemin des Bufs;94028;Créteil;607204.0;2419247.0;48.771705, 2.435188;3.0;0.0
87545517;875455;SERMAISE;SERMAISE;GARE DE SERMAISE;Sermaise;Sermaise;Route de Dourdan 91530 Sermaise;91593;Sermaise;580224.0;2393008.0;48.5355139146, 2.06881558987;5.0;0.0
87682120;876821;BRUNOY;BRUNOY;GARE DE BRUNOY;Brunoy;Brunoy;Rue de la Gare 91800 Evry;91114;Brunoy;612524.0;2411180.0;48.6990474124, 2.50656952687;5.0;0.0
87547026;875470;PARIS AUSTERLITZ (GARE D'AUSTERLITZ);PARIS AUSTERLITZ;GARE D'AUSTERLITZ RER C;Paris Aust.;Paris Austerlitz RER C;;75113;Paris;602071.0;2427311.0;48.8441510423, 2.36470621178;1.0;0.0
87386649;873866;VILLENNES SUR SEINE;VILLENNES SUR SEINE;GARE DE VILLENNES SUR SEINE;Villennes/S.;Villennes-sur-Seine;70 Place de la Libération 78670 Villennes sur Seine;78672;Villennes-sur-Seine;575295.0;2437974.0;48.9395062922, 1.99947999933;5.0;0.0
87393009;873930;VERSAILLES CHANTIERS;VERSAILLES CHANTIERS;GARE DE VERSAILLES CHANTIERS;VersaillesCh;Versailles Chantier;4 Rue de l'Abbé Rousseau 78000 Versailles;78646;Versailles;585222.0;2421924.0;48.7955663445, 2.13546496397;4.0;0.0
87381905;873819;CERGY PREFECTURE;CERGY PREFECTURE;GARE DE CERGY PREFECTURE;Cergy Préf.;Cergy Préfecture;Gare routière et Parvis en parallèle au Bld de l'Oise;95127;Cergy;581212.0;2448747.0;49.0365179881, 2.07971720177;5.0;0.0
87382333;873823;CHAVILLE RIVE DROITE;CHAVILLE RIVE DROITE;GARE DE CHAVILLE RIVE DROITE;Chaville-RD;Chaville Rive Droite;32 Rue Carnot 92370 Chaville;92022;Chaville;589075.0;2423759.0;48.812136312, 2.18783398094;3.0;0.0
87381798;873817;VAL D'ARGENTEUIL;VAL D'ARGENTEUIL;GARE DE VAL D ARGENTEUIL;Val d'Argent;Val d'Argenteuil;Boulevard de la Résistance 95100 Argenteuil;95018;Argenteuil;592276.0;2439136.0;48.9503798452, 2.23111195402;4.0;0.0
87382887;873828;VIROFLAY RIVE DROITE;VIROFLAY RIVE DROITE;GARE DE VIROFLAY RIVE DROITE;Viroflay RD;Viroflay Rive Droite;1 Place de Stalingrad;78686;Viroflay;587642.0;2423038.0;48.8056300572, 2.16835422409;3.0;0.0
87382440;873824;BOUGIVAL;BOUGIVAL;GARE DE BOUGIVAL;Bougival;Bougival;Place Maréchal Leclerc 78170 La Celle-Saint-Cloud;78126;La Celle-Saint-Cloud;585002.0;2428451.0;48.8542235026, 2.13224046835;4.0;0.0
87381657;873816;ACHERES VILLE;ACHERES VILLE;GARE D'ACHERES VILLE;Achères-V.;Achères;Rue du Moulin (depuis N186);78005;Achères;581018.0;2441356.0;48.9700946335, 2.07739969014;5.0;0.0
87382382;873823;PUTEAUX;PUTEAUX;GARE DE PUTEAUX;Puteaux;Puteaux;2 Rue Ferdinand Pelloutier 92800 Puteaux;92062;Puteaux;592444.0;2431693.0;48.8834917758, 2.2335382863;3.0;0.0
87393033;873930;INVALIDES;INVALIDES;INVALIDES;Invalides;Invalides;2, Rue Esnault Pelterie 75007 Paris;75107;Paris;598245.0;2429338.0;48.8623692316, 2.31259955332;1.0;0.0
87271304;872713;LA COURNEUVE AUBERVILLIERS;LA COURNEUVE AUBERVILLIERS;GARE DE LA COURNEUVE AUBERVILLIERS;La Courneuve;La Courneuve - Aubervilliers;Av Victor Hugo, 93120 La Courneuve;93027;La Courneuve;603531.0;2436171.0;48.9237716573, 2.38465954977;3.0;0.0
87276261;872762;SURVILLIERS FOSSES;SURVILLIERS FOSSES;GARE DE SURVILLIERS FOSSES;Survilliers;Survilliers - Fosses;Place Jean Moulin 95470 Survilliers;95250;Fosses;613809.0;2455750.0;49.0995751583, 2.52546755625;5.0;0.0
87271445;872714;SEVRAN BEAUDOTTES;SEVRAN BEAUDOTTES;GARE DE SEVRAN BEAUDOTTES;Sevran Beaud;Sevran Beaudottes;Avenue Raoul Dautry, 93270 Sevran;93071;Sevran;613775.0;2438847.0;48.9476830486, 2.524451401;4.0;0.0
87276394;872763;ECOUEN EZANVILLE;ECOUEN EZANVILLE;GARE D'ECOUEN EZANVILLE;Ecouen Ez.;Écouen - Ézanville;PLACE DE LA GARE 95440 ECOUEN;95229;Ezanville;601949.0;2447182.0;49.0227293054, 2.3631340522;4.0;0.0
87272021;872720;VILLAINES;VILLAINES;GARE DE VILLAINES;Villaines;Villaines-sous-Bois;Rue de la Halte Villaines 95570 Villaines-sous-Bois;95660;Villaines-sous-Bois;601026.0;2453477.0;49.0792979934, 2.3505368339;5.0;0.0
87276139;872761;PONTOISE;PONTOISE;GARE DE PONTOISE;Pontoise;Pontoise;Place du général de Gaulle 95300 Pontoise;95500;Pontoise;582358.0;2449912.0;49.047019384, 2.09533109205;5.0;0.0
87276279;872762;ORRY LA VILLE COYE LA FORET;ORRY LA VILLE COYE LA FORET;GARE D'ORRY LA VILLE COYE LA FORET;Orry la V.;Orry-la-Ville - Coye-la-Forêt;;60482;Orry-la-Ville;611179.0;2460100.0;49.1387128399, 2.48959350843;100.0;0.0
87276360;872763;GROSLAY;GROSLAY;GARE DE GROSLAY;Groslay;Groslay;Rue Charles de Gaulles;95288;Groslay;601247.0;2442937.0;48.9845840299, 2.35353000434;4.0;0.0
87271577;872715;NANTEUIL LE HAUDOIN;NANTEUIL LE HAUDOIN;GARE DE NANTEUIL LE HAUDOIN;;Nanteuil-le-Haudouin;;60446;Nanteuil-le-Haudouin;633394.0;2460571.0;49.1421716494, 2.79385216117;100.0;0.0
87271593;872715;CREPY EN VALOIS;CREPY EN VALOIS;GARE DE CREPY EN VALOIS;;Crépy-en-Valois;;60176;Crépy-en-Valois;640231.0;2470526.0;49.231220388, 2.88844224326;100.0;0.0
87393843;873938;SAINT-QUENTIN EN YVELINES;SAINT-QUENTIN EN YVELINES;GARE DE ST QUENTIN EN YVELINES;St Quentin;Saint-Quentin en Yvelines;Place Charles de Gaulle 78180 Montigny le Bretonneux;78423;Montigny-le-Bretonneux;578546.0;2421099.0;48.7879626643, 2.04468643564;5.0;0.0
87393413;873934;VILLEPREUX LES CLAYES;VILLEPREUX LES CLAYES;GARE DE VILLEPREUX LES CLAYES;Villepreux;Villepreux - Les Clayes-sous-Bois;Allée de la Gare 78340 Les Clayes Sous Bois;78165;Les Clayes-sous-Bois;574758.0;2425125.0;48.8240093053, 1.99292226774;5.0;0.0
87545186;875451;MAROLLES EN HUREPOIX;MAROLLES EN HUREPOIX;GARE DE MAROLLES EN HUREPOIX;Marolles;Marolles-en-Hurepoix;Place de la Gare 91630 Marolles-en-Hurepoix;91376;Marolles-en-Hurepoix;596629.0;2396330.0;48.5656724691, 2.29085245139;5.0;0.0
87393082;873930;MEUDON VAL FLEURY;MEUDON VAL FLEURY;GARE DE MEUDON VAL FLEURY;Meudon Val F;Meudon Val Fleury;1, Place Jean Jaurès 92190 Meudon;92048;Meudon;592977.0;2423284.0;48.8079219482, 2.24094197508;3.0;0.0
87492108;874921;LES ARDOINES;LES ARDOINES;GARE DES ARDOINES;Les Ardoines;Les Ardoines;Rue Léon Geoffroy 94400 Vitry-sur-Seine;94081;Vitry-sur-Seine;605341.0;2420491.0;48.7828360607, 2.40914828931;3.0;0.0
87393876;873938;NOISY LE ROI;NOISY LE ROI;GARE DE NOISY LE ROI;Noisy le roi;Noisy-le-Roi;Place de la gare 78590 Noisy le Roi;78455;Noisy-le-Roi;579842.0;2427058.0;48.8415623011, 2.06203082551;5.0;0.0
87545129;875451;GUILLERVAL;GUILLERVAL;GARE DE GUILLERVAL;;Guillerval;;91294;Guillerval;579491.0;2375083.0;48.3743438864, 2.05975019095;5.0;0.0
