Pays;Secteur;Type;Nom;WGS 84;Adresse;Département;Code postal;Ville;Lundi;Mardi;Mercredi;Jeudi;Vendredi ;Samedi;Dimanche et fêtes;Ouvert le lundi;Ouvert le mardi;Ouvert le mercredi;Ouvert le jeudi;Ouvert le vendredi;Ouvert le samedi;Ouvert le dimanche;Rendez-vous;GUICHET VENTE VOYAGES;BLS
(borne libre service);lu;ma;me;je;ve;LU - VE;Ouvert lundi - vendredi;Particularités;Particularités EN;Particularités ES;Particularités DE;Particularités IT;Particularités NL;Dates d'ouverture
si pdv saisonnier;Dates d'ouverture si pdv saisonnier EN;Dates d'ouverture si pdv saisonnier ES;Dates d'ouverture si pdv saisonnier DE;Dates d'ouverture si pdv saisonnier IT;Dates d'ouverture si pdv saisonnier NL;Si travaux, 
dates de fermeture;Si travaux, dates de fermeture EN;Si travaux, dates de fermeture ES;Si travaux, dates de fermeture DE;Si travaux, dates de fermeture IT;Si travaux, dates de fermeture NL;URL profonde service rendez-vous 
France;ILE-DE-FRANCE;GARE;PARIS MONTPARNASSE 3 VAUGIRARD;48.838638, 2.315602;7 rue du Cotentin;75;75015.0;PARIS;06:30-20:00;06:30-20:00;06:30-20:00;06:30-20:00;06:30-20:00;08:00-20:00;08:00-20:00;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;non;non;oui;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;ILE-DE-FRANCE;GARE;RAMBOUILLET;48.6440164575, 1.83037629189;1 place Fernand Prudhomme;78;78120.0;RAMBOUILLET;7:25-14:40;10:40-13:00 & 14:00-18:55;10:40-13:00 & 14:00-18:55;10:40-13:00 & 14:00-18:55;10:40-13:00 & 14:00-18:55;Fermé;Fermé;ouvert;ouvert;ouvert;ouvert;ouvert;fermé;fermé;non;oui;oui;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;ILE-DE-FRANCE;BLS SEULE;STE GENEVIEVE DES BOIS;48.653753, 2.313865;Place de la Gare;91;91700.0;Sainte Geneviève des Bois;;;;;;;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;non;NON;oui;0.0;0.0;0.0;0.0;0.0;0.0;n/a;;;;;;;;;;;;;;;;;;;
France;ILE-DE-FRANCE;BLS SEULE;VITRY SUR SEINE;48.80125635, 2.40204447;2 cour de la Gare;94;94400.0;Vitry sur Seine;;;;;;;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;non;non;Oui;0.0;0.0;0.0;0.0;0.0;0.0;n/a;;;;;;;;;;;;;;;;;;;
France;ILE-DE-FRANCE;BOUTIQUE;LA DEFENSE RER A;48.8918, 2.2386;Salle d'échange Gare RER La Défense;92;92092.0;LA DEFENSE;7:30-20:00;7:30-20:00;7:30-20:00;7:30-20:00;7:30-20:00;10:00-19:00;Fermé;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;fermé;oui;oui;oui;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;http://www.rendezvous.sncf.com/boutiqueladefenserera
France;ILE-DE-FRANCE;BLS SEULE;LA GARENNE COLOMBES;48.9093624765, 2.23972062791;8 rue de l'Arrivée;92;92250.0;LA GARENNE COLOMBES;;;;;;;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;non;non;oui;0.0;0.0;0.0;0.0;0.0;0.0;n/a;;;;;;;;;;;;;;;;;;;
France;ILE-DE-FRANCE;BLS SEULE;MANTES LA JOLIE;48.9899143125, 1.70355259233;place du 8 Mai 1945;78;78200.0;MANTES LA JOLIE;;;;;;;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;non;NON;oui;0.0;0.0;0.0;0.0;0.0;0.0;n/a;;;;;;;;;;;;;;;;;;;
France;ILE-DE-FRANCE;BLS SEULE;NANTERRE UNIVERSITE;48.90149366, 2.2151537;33 boulevard des Provinces Françaises;92;92000.0;Nanterre;;;;;;;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;non;Non;Oui;0.0;0.0;0.0;0.0;0.0;0.0;n/a;;;;;;;;;;;;;;;;;;;
France;ILE-DE-FRANCE;BOUTIQUE;TERNES;48.87732826, 2.29957178;229 rue du Faubourg St Honoré;75;75008.0;PARIS;9:00-18:45;9:00-18:45;9:00-18:45;9:00-18:45;9:00-18:45;10:30-13:00 & 14:00-18:15;Fermé;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;fermé;non;oui;non;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;ILE-DE-FRANCE;GARE;EVRY COURCOURONNES;48.65860328, 2.41462111;1, Place de la Gare;91;91000.0;EVRY;10:15-18:30;10:15-18:30;10:15-18:30;10:15-18:30;10:15-18:30;Fermé;Fermé;ouvert;ouvert;ouvert;ouvert;ouvert;fermé;fermé;non;oui;oui;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
