Geo Point;Geo Shape;GR_ID;GR_NOM;ZDL_ID;ZDL_NOM;LDA_ID;LDA_NOM;GARE_NOM;INSEE_TXT;COMM_NOM;DPT_ID;ACCES_PMR
48.7654889071, 2.40903481034;"{""type"": ""Polygon"", ""coordinates"": [[[2.409672552360594, 48.76559989308974], [2.408529647884945, 48.76524229467642], [2.408415415856213, 48.765396546829024], [2.409579889384428, 48.76573414729324], [2.409672552360594, 48.76559989308974]]]}";169;Choisy-le-Roi;43110;Choisy-le-Roi (Gare);69852;Choisy-le-Roi (Gare);CHOISY-LE-ROI;94022;Choisy-le-Roi;94;
48.7244194969, 2.25943510144;"{""type"": ""Polygon"", ""coordinates"": [[[2.260682789503539, 48.72516834653554], [2.260220290149749, 48.7248260073872], [2.259739908741638, 48.724424170916166], [2.259501886117221, 48.724275261170646], [2.258567519098432, 48.7236069128292], [2.258220109302223, 48.72334963488093], [2.257949294222077, 48.72316993886421], [2.257764157945083, 48.723069395648785], [2.257593154840348, 48.72316164980408], [2.259523669425758, 48.72472441463184], [2.260453128130116, 48.72542694524477], [2.260614711010391, 48.725552042763724], [2.261101887154452, 48.725288518161186], [2.26084925330811, 48.72507923330234], [2.260682789503539, 48.72516834653554]]]}";510;Massy-Palaiseau - Atlantis;58774;Massy Palaiseau;63244;Massy Palaiseau;MASSY-PALAISEAU;91477;Palaiseau;91;Oui
48.8057240348, 2.16886131951;"{""type"": ""Polygon"", ""coordinates"": [[[2.16836687771145, 48.80576211669643], [2.169060969283648, 48.80588402530312], [2.169116641453837, 48.80578160865296], [2.169331546948404, 48.805724562226295], [2.169342034095121, 48.80560898156854], [2.168338326154103, 48.80565483230978], [2.16836687771145, 48.80576211669643]]]}";875;Viroflay Rive Droite;46689;Viroflay Gare Rive Droite;422420;Viroflay Gare Rive Droite;VIROFLAY RIVE DROITE;78686;Viroflay;78;
48.78530763, 2.21890225878;"{""type"": ""Polygon"", ""coordinates"": [[[2.219235622620256, 48.7850512630729], [2.218218925161995, 48.78512091612491], [2.218122546051756, 48.785131588544765], [2.218045217467959, 48.785155103387176], [2.217978367360519, 48.785192815780675], [2.21774083614866, 48.785168832083016], [2.217779939501047, 48.78525095077813], [2.218149237803654, 48.78540757366595], [2.218274477165617, 48.78531701180183], [2.218509591087863, 48.7854153005509], [2.218817996460909, 48.78552470186179], [2.219143930604449, 48.785605957978746], [2.219389064012519, 48.78565701344605], [2.219531910933853, 48.78568479339039], [2.219600810279203, 48.7855100360651], [2.219591408939041, 48.785423783979695], [2.21953746160071, 48.785027802009886], [2.219235622620256, 48.7850512630729]]]}";843;Vélizy 2;426075;Europe Nord;420144;Vélizy 2 (Nord) / Europe Nord;VELIZY 2;78640;Vélizy-Villacoublay;78;Oui
48.8981469055, 2.12197245455;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[2.123141251047974, 48.8974621974967], [2.123058825698749, 48.89744796820562], [2.12281320930195, 48.89785191390962], [2.122853924895053, 48.89788854745025], [2.123141251047974, 48.8974621974967]]], [[[2.12159678873424, 48.898224518816086], [2.121509898324823, 48.89820268586681], [2.12113517823133, 48.89863596029218], [2.121126731236456, 48.89872825053356], [2.121147114330674, 48.89874505379442], [2.12159678873424, 48.898224518816086]]]]}";419;Le Vésinet-Le Pecq;43237;Vésinet - Le Pecq (Gare);64582;Vésinet - Le Pecq (Gare);LE VESINET-LE PECQ;78481;Le Pecq;78;
48.681225973, 2.5336360132;"{""type"": ""Polygon"", ""coordinates"": [[[2.534337327620771, 48.68104489911794], [2.534208827233318, 48.68094587060904], [2.533999720216131, 48.68093934194056], [2.533822802554449, 48.68095007374152], [2.533545920525018, 48.681047517586116], [2.532755814660606, 48.68138712485338], [2.532813193201702, 48.68148159207521], [2.533221256476094, 48.68142464605823], [2.533248663061079, 48.68149472072967], [2.534129910658109, 48.68133252874595], [2.534337327620771, 48.68104489911794]]]}";95;Boussy-Saint-Antoine;47924;Boussy-Saint-Antoine (Gare);62596;Boussy-Saint-Antoine (Gare);BOUSSY-SAINT-ANTOINE;91514;Quincy-sous-Sénart;91;oui
48.8093458437, 3.08948380764;"{""type"": ""Polygon"", ""coordinates"": [[[3.090180393420111, 48.80932154028691], [3.090116648486111, 48.80929911875736], [3.090126735758133, 48.80920387347713], [3.090020572441045, 48.80904467417802], [3.089530125428206, 48.809202102141164], [3.08928929614392, 48.8092855449566], [3.089243302269816, 48.809293463084515], [3.089148089206789, 48.809286476848236], [3.089069849944433, 48.80925843917463], [3.08898610632182, 48.80924757072209], [3.088902680283072, 48.80925763816456], [3.088833689415499, 48.80926951512694], [3.088779281998904, 48.80929271674726], [3.088748215398815, 48.80933480015689], [3.088737378256384, 48.80938055681601], [3.088772879054602, 48.80944123721777], [3.088839879206873, 48.80948838492629], [3.089354359710339, 48.80958588057242], [3.089968467060592, 48.809410504508904], [3.090180393420111, 48.80932154028691]]]}";892;Scolaire Coulommiers - Hippolyte Rémy;49279;Collège Hippolyte Rémy;67918;Collège Hippolyte Rémy;;77131;Coulommiers;77;Oui
48.8438679032, 2.46499325271;"{""type"": ""Polygon"", ""coordinates"": [[[2.464823229595737, 48.84396115903502], [2.465207244931183, 48.84389121418052], [2.465167312716344, 48.843774856130466], [2.464776718284977, 48.843844771426376], [2.464823229595737, 48.84396115903502]]]}";276;Fontenay-sous-Bois;47238;Fontenay-sous-Bois (Gare);71630;Fontenay-sous-Bois (Gare);FONTENAY-SOUS-BOIS;94033;Fontenay-sous-Bois;94;
48.2617738506, 2.71415940495;"{""type"": ""Polygon"", ""coordinates"": [[[2.714143136811891, 48.26126518290064], [2.713467983883371, 48.26151249775691], [2.714039409279398, 48.26216249689877], [2.714510103899328, 48.26220850688869], [2.714858327944975, 48.26207886321688], [2.714143136811891, 48.26126518290064]]]}";896;Scolaire Saint-Pierre-lès-Nemour;59129;Cité Scolaire - Nrs;74205;Cité Scolaire - Nrs;;77333;Nemours;77;
48.9977059969, 2.09925408028;"{""type"": ""Polygon"", ""coordinates"": [[[2.099556941966136, 48.99800228128708], [2.099702878208538, 48.99773228919884], [2.099682937202973, 48.99766753029612], [2.09962813753385, 48.997633154004], [2.099160119508677, 48.99750274567812], [2.099058979763189, 48.997479693658406], [2.098769112450969, 48.997600913817955], [2.098679041051345, 48.99768257648757], [2.099138336656367, 48.99782248483763], [2.099288591010296, 48.99785896362359], [2.099556941966136, 48.99800228128708]]]}";187;Conflans-Fin-d'Oise;47447;Conflans-Sainte-Honorine (Gare);66095;Conflans Sainte-Honorine (Gare);CONFLANS-FIN-D'OISE;78172;Conflans-Sainte-Honorine;78;Partielle
48.9911037176, 2.1609926239;"{""type"": ""Polygon"", ""coordinates"": [[[2.161635271091707, 48.990951652485315], [2.161302095725964, 48.99070834473807], [2.160346732678513, 48.99126002977585], [2.1606846241461, 48.99149700268887], [2.161635271091707, 48.990951652485315]]]}";327;Herblay;47603;Herblay (Gare);65897;Herblay (Gare);HERBLAY;95306;Herblay;95;Oui
48.8904174816, 2.24049551864;"{""type"": ""Polygon"", ""coordinates"": [[[2.240638061909007, 48.89125753608078], [2.240091029284355, 48.89060936342628], [2.241329855543786, 48.890214943655025], [2.241835570278905, 48.89079814839175], [2.242012030891478, 48.89076059865165], [2.241404315107599, 48.89005777365067], [2.241137780088792, 48.889776494026584], [2.240939637950279, 48.88975441761252], [2.239684381894423, 48.89015394258591], [2.239539615312604, 48.8904921014074], [2.240212231349252, 48.89138273282522], [2.240638061909007, 48.89125753608078]]]}";378;La Défense RATP;43536;La Défense Métro-RER-Tramway;71517;La Défense (Grande Arche);LA DEFENSE-GRANDE ARCHE;92026;Courbevoie;92;Non
48.7877152077, 2.04596067912;"{""type"": ""Polygon"", ""coordinates"": [[[2.044999167451719, 48.78712411507284], [2.044924914696876, 48.787149819501586], [2.044883081023809, 48.78719232106324], [2.044863646977671, 48.787247970715065], [2.04487046508847, 48.78729652493455], [2.046891861277732, 48.78829936878977], [2.04708200341868, 48.78814262947608], [2.047017685694266, 48.788114749254575], [2.046980636433473, 48.788072807848664], [2.046934388660081, 48.788041501811655], [2.046870005932834, 48.788017190870626], [2.046801696052917, 48.78801069618151], [2.044999167451719, 48.78712411507284]]]}";766;SQY des Prés - urbaine;43249;Saint-Quentin-en-Yvelines (Avenue des Prés);63812;Saint-Quentin-en-Yvelines (Gare);SAINT-QUENTIN-EN-YVELINES;78423;Montigny-le-Bretonneux;78;oui
48.8895703206, 2.51223431423;"{""type"": ""Polygon"", ""coordinates"": [[[2.511881359547532, 48.88959638778676], [2.511961694589161, 48.88972292096745], [2.512581098719587, 48.88955328066444], [2.512494241280089, 48.88941417863558], [2.511881359547532, 48.88959638778676]]]}";414;Le Raincy-Villemomble;47901;Le Raincy Villemomble Montfermeil;73297;Raincy Villemomble;LE RAINCY-VILLEMOMBLE-MONTFERMEIL;93062;Le Raincy;93;Non
48.9070865855, 2.44960493827;"{""type"": ""Polygon"", ""coordinates"": [[[2.449097882237171, 48.90754941686698], [2.449277646601822, 48.90754881629219], [2.44928237060665, 48.90751171935587], [2.449936471936163, 48.90750758617795], [2.449977524073909, 48.90749230940438], [2.450125281862924, 48.90738630008479], [2.450141366639844, 48.90664977493933], [2.449667052471877, 48.90665188005773], [2.449638596995008, 48.90668030215157], [2.449169579658352, 48.90668564464257], [2.449095606675176, 48.90674136063217], [2.449068833612432, 48.90681547485818], [2.449097882237171, 48.90754941686698]]]}";70;Métro Bobigny-Pablo-Picasso;42345;Bobigny Pablo Picasso;72486;Bobigny Pablo Picasso (Gare);BOBIGNY-PABLO PICASSO;93008;Bobigny;93;Non
48.5960015887, 2.58471416075;"{""type"": ""Polygon"", ""coordinates"": [[[2.584297251462581, 48.595629444263864], [2.584074503348035, 48.59616274343064], [2.585042539964105, 48.59634783673723], [2.585117964015678, 48.596338579853445], [2.585224168910042, 48.59626432366681], [2.585380239823054, 48.59592571401558], [2.585352069981692, 48.595898541699114], [2.584921167211848, 48.59581654960605], [2.584954114498117, 48.5957338398081], [2.584573667481093, 48.59565754189411], [2.584367131823132, 48.595640398137746], [2.584297251462581, 48.595629444263864]]]}";774;Savigny-le-Temple - Nandy;47665;Savigny-le-Temple Nandy;62290;Savigny-le-Temple Nandy;SAVIGNY-LE-TEMPLE-NANDY;77445;Savigny-le-Temple;77;Non
48.5265204613, 2.65382730066;"{""type"": ""Polygon"", ""coordinates"": [[[2.654085149450756, 48.52642721879283], [2.654009829458444, 48.526422232716655], [2.653484078631296, 48.526523188877924], [2.653527767456068, 48.526609120089795], [2.653720343995785, 48.526608092543725], [2.654193451650646, 48.52650936521022], [2.654085149450756, 48.52642721879283]]]}";519;Melun Ermitage (sud des voies);426229;Place de L'Ermitage / Gare;61926;Melun (Gare);MELUN;77288;Melun;77;non
48.7633439435, 2.35790115632;"{""type"": ""Polygon"", ""coordinates"": [[[2.357681829829692, 48.76391228296607], [2.358691093328689, 48.76291271599408], [2.35848830248694, 48.762984436320245], [2.358227483590434, 48.76287035335614], [2.358216845618159, 48.76266920357392], [2.35719495666169, 48.76371392909674], [2.357681829829692, 48.76391228296607]]]}";533;MIN de Rungis;47423;Marché International de Rungis;69840;Marché International de Rungis;MIN RUNGIS;94021;Chevilly-Larue;94;Partielle
49.0498739069, 2.03437622002;"{""type"": ""Polygon"", ""coordinates"": [[[2.033061998536292, 49.04987281960773], [2.033122086378476, 49.050116998099654], [2.035670454908233, 49.04987970407234], [2.035634087283384, 49.049628444379536], [2.033061998536292, 49.04987281960773]]]}";126;Cergy-Saint-Christophe;47897;Cergy Saint-Christophe;66858;Cergy Saint-Christophe;CERGY-SAINT-CHRISTOPHE;95127;Cergy;95;Non
48.8110126905, 2.30191562821;"{""type"": ""Polygon"", ""coordinates"": [[[2.302057958922068, 48.810513009223705], [2.30201200752811, 48.8105152232736], [2.301374860233537, 48.81131857627178], [2.301543773951664, 48.81145805886589], [2.301667178329372, 48.811444501905605], [2.302360095252589, 48.811035916002474], [2.302383869369846, 48.8108747144798], [2.30215440805297, 48.810574967524865], [2.302057958922068, 48.810513009223705]]]}";155;Métro Châtillon - Montrouge;42588;Châtillon Montrouge;70469;Châtillon Montrouge;CHATILLON-MONTROUGE;92020;Châtillon;92;Partielle
49.0387837691, 1.57967974237;"{""type"": ""Polygon"", ""coordinates"": [[[1.579409653853902, 49.03851483947988], [1.579139049102118, 49.038727500541995], [1.579767921037096, 49.039098190271474], [1.580266572537788, 49.03874431675164], [1.579409653853902, 49.03851483947988]]]}";82;Bonnières-sur-Seine;55090;Bonnières (Gare routière);66741;Bonnières (Gare);BONNIERES;78089;Bonnières-sur-Seine;78;Partielle
48.697931229, 2.13706404919;"{""type"": ""Polygon"", ""coordinates"": [[[2.137411816245599, 48.69784261541189], [2.136680527844166, 48.69778003381981], [2.136676453750666, 48.69780629760793], [2.136734493980035, 48.697847556761786], [2.136851397867406, 48.69805442505241], [2.137183311128058, 48.698085657173294], [2.137347492431401, 48.69804916643857], [2.137411816245599, 48.69784261541189]]]}";308;Gif-sur-Yvette;47888;Gif-sur-Yvette (Gare);62890;Gif-sur-Yvette (Gare);GIF-SUR-YVETTE;91272;Gif-sur-Yvette;91;non
48.8853043327, 2.25876772006;"{""type"": ""Polygon"", ""coordinates"": [[[2.259221600662813, 48.88499281202417], [2.258152484061753, 48.88534295153778], [2.257993673440707, 48.88535011723625], [2.257790713817958, 48.88541358185862], [2.257987194849769, 48.885399571208936], [2.258131372276194, 48.88540998232793], [2.258182890787015, 48.88544075938437], [2.258251021893494, 48.88552113255261], [2.258229760247438, 48.885595241101925], [2.258159568205905, 48.88565952880239], [2.258031434279021, 48.88573868588112], [2.258243026529524, 48.88567717824081], [2.258336443615551, 48.88560351667796], [2.259444137648882, 48.88524868852589], [2.259478669848076, 48.88514555208089], [2.259453297094942, 48.88508331120124], [2.259389130762934, 48.88503963010018], [2.259304193207556, 48.88501154987492], [2.259221600662813, 48.88499281202417]]]}";642;Pont-de-Neuilly;44479;Pont de Neuilly;71442;Pont de Neuilly;PONT DE NEUILLY (AVENUE DE MADRID);92051;Neuilly-sur-Seine;92;Partielle
48.9141727336, 2.40455262667;"{""type"": ""Polygon"", ""coordinates"": [[[2.404148904252913, 48.91378435030804], [2.404048127888263, 48.91375767581263], [2.403950649675324, 48.913758380635194], [2.403601080499044, 48.91389629314375], [2.403974009709445, 48.914235906219744], [2.404322342844493, 48.9144014784535], [2.404586743110017, 48.91448369196732], [2.40480173630765, 48.91445603397777], [2.404830246787834, 48.914499178304325], [2.405431104567242, 48.91436058787743], [2.405625869989114, 48.914304531571204], [2.405446080552493, 48.914103812444935], [2.405378441516993, 48.914072418539895], [2.405277337698374, 48.91407429622217], [2.404913540437663, 48.91416052749501], [2.404791890733355, 48.914164917871624], [2.40470798224874, 48.91414166055317], [2.404381173781537, 48.91399251330693], [2.404148904252913, 48.91378435030804]]]}";277;Métro Fort-d'Aubervilliers;47891;Fort d'Aubervilliers;73695;Fort d'Aubervilliers;FORT D'AUBERVILLIERS;93001;Aubervilliers;93;Non
48.829436379, 2.23005104735;"{""type"": ""Polygon"", ""coordinates"": [[[2.230954120656041, 48.82960169319427], [2.230911869699284, 48.82951135974545], [2.230822058324532, 48.82943464558347], [2.23067902435786, 48.82935757730172], [2.229826766596049, 48.82910342077772], [2.229673952570743, 48.82907864062715], [2.229113581278996, 48.829072650106376], [2.229036052835939, 48.82919708134434], [2.229406638356886, 48.82948502469607], [2.229544457972089, 48.82954897305102], [2.230350049055268, 48.829800400999304], [2.230540633058866, 48.829820714983356], [2.230722580142087, 48.82981631556397], [2.230845447313969, 48.82980363842351], [2.231020666680163, 48.82965365946624], [2.230954120656041, 48.82960169319427]]]}";644;Métro Pont de Sèvres;44481;Pont de Sèvres;70698;Pont de Sèvres;PONT DE SEVRES;92012;Boulogne-Billancourt;92;Oui
48.7536861136, 2.50587688165;"{""type"": ""Polygon"", ""coordinates"": [[[2.505269947938976, 48.753346513093796], [2.505702753323981, 48.75415332885108], [2.505724790819297, 48.75417197780034], [2.505844201645743, 48.75420708796501], [2.505932098816014, 48.75420695697489], [2.506104593170382, 48.75415895972846], [2.506429430411909, 48.7536769085223], [2.506428963993136, 48.75353991137969], [2.505872272260646, 48.753229380418176], [2.505539796525, 48.75331082646038], [2.50551771690591, 48.75327972300849], [2.505269947938976, 48.753346513093796]]]}";78;Boissy Saint-Leger;43094;Boissy-Saint-Léger (Gare);72881;Boissy-Saint-Léger (Gare);BOISSY-SAINT-LEGER;94004;Boissy-Saint-Léger;94;Oui
48.728799404, 2.36953963202;"{""type"": ""Polygon"", ""coordinates"": [[[2.370833109312153, 48.72917212014037], [2.370494004492911, 48.728820733702705], [2.368176086267038, 48.72841455976924], [2.368682535552486, 48.72880188447969], [2.370833109312153, 48.72917212014037]]]}";9;Aéroport d'Orly-Sud;42165;Aéroport d'Orly (Terminal Sud);63278;Aéroport d'Orly (Terminal Sud);AEROPORT D'ORLY - TERMINAL SUD;91479;Paray-Vieille-Poste;91;Partielle
48.8314525781, 1.94422467517;"{""type"": ""Polygon"", ""coordinates"": [[[1.943527105388666, 48.83164522038451], [1.943667867073108, 48.831631819349795], [1.944116845081334, 48.83158794383341], [1.944523280511559, 48.83152709417043], [1.944836172132399, 48.831411718801775], [1.94496623046526, 48.83134257100447], [1.944990420902169, 48.83131642325388], [1.945023228662476, 48.83122555987836], [1.944650784945148, 48.831291947619526], [1.943737137306408, 48.83142447318862], [1.943505452361865, 48.83147319551186], [1.943527105388666, 48.83164522038451]]]}";633;Plaisir Grignon;47885;Plaisir Grignon (Gare);64199;Plaisir Grignon (Gare);PLAISIR-GRIGNON;78490;Plaisir;78;Partielle
48.887136254, 2.17290824811;"{""type"": ""Polygon"", ""coordinates"": [[[2.171037895084068, 48.88693562102936], [2.172981119290575, 48.88761147624552], [2.174136035338859, 48.886823906844455], [2.173337895083741, 48.88678410242374], [2.173035637476566, 48.88677724056117], [2.172226790334627, 48.88722299958734], [2.171240466374075, 48.88690371067735], [2.171037895084068, 48.88693562102936]]]}";725;Rueil-Malmaison;58875;Rueil-Malmaison (Gare);70902;Rueil-Malmaison (Gare);RUEIL-MALMAISON;92063;Rueil-Malmaison;92;Oui
48.9629449202, 2.51174746579;"{""type"": ""Polygon"", ""coordinates"": [[[2.512002581271673, 48.96229383416207], [2.512002704846362, 48.962329121268944], [2.511281686925847, 48.963478104077836], [2.511477278470537, 48.963517245936686], [2.511697118298192, 48.96328027619225], [2.512073230820835, 48.9626611319426], [2.51211609694237, 48.962301963065464], [2.512002581271673, 48.96229383416207]]]}";866;Villepinte;58793;Villepinte (Gare);73547;Villepinte (Gare);VILLEPINTE;93078;Villepinte;93;
49.0463089797, 2.09339254855;"{""type"": ""Polygon"", ""coordinates"": [[[2.092826905927371, 49.04637060219983], [2.093177236186398, 49.046648068404416], [2.093387289537357, 49.04652506061139], [2.093407298339279, 49.04653996245402], [2.093590363882881, 49.04643644355228], [2.093668998247907, 49.04643534996152], [2.093723538834662, 49.04642101065078], [2.093755343836794, 49.0463822316024], [2.093960602421131, 49.04627726816197], [2.093562491311624, 49.04596350710308], [2.092826905927371, 49.04637060219983]]]}";650;Pontoise (sud-Canrobert);44496;Pontoise Gare (Canrobert);66816;Pontoise (Gare);PONTOISE;95500;Pontoise;95;Oui
48.6251603342, 2.42837092725;"{""type"": ""Polygon"", ""coordinates"": [[[2.427892282753382, 48.6249192852078], [2.427910523918757, 48.6249902544534], [2.427872627839993, 48.62504148025208], [2.427899244675935, 48.625233911115565], [2.42794767186147, 48.62549444531828], [2.428617715713995, 48.62545632023552], [2.428889009786037, 48.625335765519736], [2.428787899540682, 48.624863088876204], [2.42869087695605, 48.6248055037369], [2.427892282753382, 48.6249192852078]]]}";263;Evry-Courcouronne (interurbaine);47906;Évry Courcouronnes;60450;Évry Courcouronnes;EVRY-COURCOURONNES;91228;Évry;91;Oui
48.5333613033, 2.29118318061;"{""type"": ""Polygon"", ""coordinates"": [[[2.291619914906024, 48.53340299513801], [2.291477906736037, 48.533330682590744], [2.291592683784882, 48.533236404331745], [2.291132854757362, 48.533012411290336], [2.290997229630027, 48.53312222870846], [2.290830329329641, 48.533146687585145], [2.29069552549937, 48.53319581145493], [2.290744863293022, 48.53327260993798], [2.291109407427605, 48.53365644830861], [2.291114297591746, 48.5337308810025], [2.29120340219822, 48.53379113064924], [2.291619914906024, 48.53340299513801]]]}";91;Bouray;47905;Bouray;59830;Bouray;BOURAY;91330;Lardy;91;Non
48.9930031418, 1.9128027813;"{""type"": ""Polygon"", ""coordinates"": [[[1.912763583990819, 48.993393812146046], [1.912777217954257, 48.99302739111766], [1.912744946807888, 48.99298855319949], [1.912746301793744, 48.99294966206019], [1.912784420663405, 48.99291645844089], [1.912852976865132, 48.992906015619454], [1.912923300076772, 48.99293012432014], [1.912941773083769, 48.99298312515049], [1.9128992274773, 48.99302849661235], [1.912881806139895, 48.99339452631257], [1.913198491812237, 48.993397395159874], [1.91321844213213, 48.992998161265696], [1.913052166178382, 48.99279982952047], [1.912754432901886, 48.99275824924952], [1.912759816918025, 48.99268198490952], [1.912699240603068, 48.992572783362796], [1.912553340522641, 48.99248194636082], [1.91241601349606, 48.99248277273299], [1.912375193876929, 48.99256535445378], [1.91237783468407, 48.99264830493583], [1.912453157026534, 48.99265148591845], [1.912454505165271, 48.99269075768858], [1.912460615738936, 48.992709729709674], [1.912493054961659, 48.99271466318634], [1.912532483744125, 48.99270760767419], [1.912540106429502, 48.992772908797534], [1.912511436868731, 48.99339117008622], [1.912763583990819, 48.993393812146046]]]}";440;Mureaux;47881;Les Mureaux (Gare);65994;Les Mureaux (Gare);LES MUREAUX;78440;Les Mureaux;78;Non
49.0362665878, 2.08049870296;"{""type"": ""Polygon"", ""coordinates"": [[[2.080081109716452, 49.03618816105], [2.079959366267145, 49.03627859038348], [2.079965473254714, 49.03634239989687], [2.080000000206769, 49.036517775384574], [2.078653671169691, 49.03748336287453], [2.078803099287209, 49.03757100527553], [2.080213302976111, 49.036651694288196], [2.081210930359284, 49.0360454137584], [2.081188521503459, 49.036028063388166], [2.081134690249115, 49.03599903346608], [2.081251576590956, 49.03589162874502], [2.082574372281258, 49.0349739575958], [2.082443075042752, 49.03489575445993], [2.081228270752666, 49.03573632482355], [2.080928745746155, 49.035843649307054], [2.080611511170199, 49.035824988138536], [2.080081109716452, 49.03618816105]]]}";125;Cergy-Préfecture;44559;Cergy Préfecture;66696;Cergy Préfecture;CERGY-PREFECTURE;95127;Cergy;95;Partielle
48.8990600622, 2.09433405224;"{""type"": ""Polygon"", ""coordinates"": [[[2.09358951131702, 48.89914751127284], [2.093587886730396, 48.89936522508981], [2.094353514888784, 48.899358168303095], [2.094441330610366, 48.89935169333511], [2.094504370828061, 48.89933789288067], [2.094573044618654, 48.89930660854562], [2.094647357020918, 48.89926719354757], [2.094689440084446, 48.89921325867114], [2.094718580104435, 48.89915637052058], [2.094767051332256, 48.898361500449866], [2.094525206102876, 48.898570973474094], [2.094487027814013, 48.89914748188388], [2.094412568031274, 48.8991917647274], [2.09358951131702, 48.89914751127284]]]}";744;Saint-Germain-en-Laye;43198;Saint-Germain-en-Laye (Gare);64589;Saint-Germain-en-Laye (Gare);SAINT-GERMAIN-EN-LAYE;78551;Saint-Germain-en-Laye;78;Oui
48.8387914791, 2.65493051558;"{""type"": ""Polygon"", ""coordinates"": [[[2.656103858876433, 48.838265938594034], [2.65551251850271, 48.83824060591039], [2.653815692261097, 48.83911687373262], [2.653858688212717, 48.83915625990096], [2.653801036087627, 48.839206777371], [2.653784544873994, 48.83924741954317], [2.65378105302853, 48.839284529841656], [2.653786706189113, 48.83931442059621], [2.653802311617011, 48.83934027152299], [2.65382473193554, 48.83935998166617], [2.653852864495365, 48.83938182179129], [2.653894163255424, 48.83939922756919], [2.653940260999334, 48.839412056966914], [2.653991751921156, 48.839415563164614], [2.654104757795897, 48.83938411258067], [2.654130113907309, 48.83941517817024], [2.656233490573643, 48.83837559051518], [2.656103858876433, 48.838265938594034]]]}";819;Torcy;43207;Torcy (Gare);68129;Torcy (Gare);TORCY;77468;Torcy;77;oui
48.9462465908, 2.36461712851;"{""type"": ""Polygon"", ""coordinates"": [[[2.363605305635254, 48.94580158227606], [2.363208963455429, 48.94621146223301], [2.365731936738283, 48.94670884512509], [2.365916278661769, 48.94624855650192], [2.363605305635254, 48.94580158227606]]]}";735;Métro Saint-Denis-Université;47893;Université Paris 8;72358;Saint-Denis Université;SAINT-DENIS-UNIVERSITE;93066;Saint-Denis;93;Partielle
48.9879158229, 1.70449205958;"{""type"": ""Polygon"", ""coordinates"": [[[1.705157526364304, 48.987526755069894], [1.705167716629939, 48.98752981576647], [1.705144976753374, 48.987506122014686], [1.704069437283997, 48.98795321997097], [1.704076190854868, 48.98798011283681], [1.703959623822125, 48.9880775491395], [1.703852244153928, 48.98822738529465], [1.703857518566952, 48.98830836965305], [1.704903686643352, 48.98789276779265], [1.705157526364304, 48.987526755069894]]]}";495;Mantes-la-Jolie;43244;Gare Routière;65931;Mantes-la-Jolie (Gare);MANTES-LA-JOLIE;78362;Mantes-la-Ville;78;Oui
48.7801827127, 2.31335124527;"{""type"": ""Polygon"", ""coordinates"": [[[2.313392953604058, 48.780236284249526], [2.313555183102652, 48.78021840694033], [2.313504674941966, 48.78011626507959], [2.313180348832779, 48.78013534223332], [2.313168776962116, 48.78024854995912], [2.313392953604058, 48.780236284249526]]]}";92;Bourg-la-Reine;43097;Bourg-la-Reine (Gare);70033;Bourg-la-Reine (Gare);BOURG-LA-REINE;92014;Bourg-la-Reine;92;non
49.0335961011, 2.12813992792;"{""type"": ""Polygon"", ""coordinates"": [[[2.127768350096407, 49.03370584948871], [2.12821395294352, 49.033908875620234], [2.128547991884268, 49.03360970635165], [2.128485125646511, 49.033569932287214], [2.128407485821079, 49.03342372984381], [2.12807734044349, 49.03329532525294], [2.1279837459949, 49.03334162852005], [2.127836776349239, 49.033474143334125], [2.127768350096407, 49.03370584948871]]]}";760;Saint-Ouen-l'Aumône-Liesse;43150;Saint-Ouen l'Aumône - Liesse;66659;Saint-Ouen l'Aumône - Liesse;SAINT-OUEN-L'AUMONE-LIESSE;95572;Saint-Ouen-l'Aumône;95;Partielle
48.7881607097, 2.04450179325;"{""type"": ""Polygon"", ""coordinates"": [[[2.045825484009092, 48.78880239214666], [2.045886928078863, 48.78863296668552], [2.045673348490717, 48.788495613766266], [2.044575851589669, 48.78800993653433], [2.044496632767159, 48.78808783515321], [2.043469119714298, 48.78767552854696], [2.043385040269273, 48.78766486087015], [2.042570391157672, 48.78731136387197], [2.042494196236273, 48.78734216636542], [2.042405088963714, 48.787370009603535], [2.042146451908704, 48.78733366788676], [2.042457529959228, 48.787456102633186], [2.042536202053605, 48.787408185636416], [2.045252623516518, 48.78857792474964], [2.045205940114393, 48.78863018254251], [2.045491476658749, 48.78875117641191], [2.045669241031853, 48.7888382688659], [2.045734712231955, 48.78880309471282], [2.045825484009092, 48.78880239214666]]]}";765;SQY Paul Delouvrier- interurbaine RD 10;43249;Saint-Quentin-en-Yvelines (Avenue des Prés);63812;Saint-Quentin-en-Yvelines (Gare);SAINT-QUENTIN-EN-YVELINES;78423;Montigny-le-Bretonneux;78;oui
