Geo Point;Geo Shape;GR_ID;GR_NOM;ZDL_ID;ZDL_NOM;LDA_ID;LDA_NOM;GARE_NOM;INSEE_TXT;COMM_NOM;DPT_ID;ACCES_PMR
48.9302816328, 2.35830054127;"{""type"": ""Polygon"", ""coordinates"": [[[2.357592404183514, 48.930185301653935], [2.357327742731933, 48.93010854817017], [2.35678902793318, 48.93009203908556], [2.356697668655683, 48.93009413056132], [2.35669772902625, 48.93024565861835], [2.357123048372886, 48.93030162772487], [2.357583049064406, 48.93041778456865], [2.358036747240717, 48.93052356222869], [2.358521936619919, 48.930598196145624], [2.358758212657748, 48.93059192369828], [2.359580237284746, 48.930103964410364], [2.360676455131765, 48.92988993844414], [2.360670145690467, 48.92987125800026], [2.360443317743578, 48.9298630035329], [2.360232264653932, 48.929902486245574], [2.359454203755326, 48.930060400073366], [2.359199061204544, 48.93013725271577], [2.358761274743632, 48.9303926529376], [2.358603774612373, 48.93043419811622], [2.358452560562188, 48.93044045442732], [2.357592404183514, 48.930185301653935]]]}";734;Saint-Denis - Porte de Paris;44861;Saint-Denis Porte de Paris;72285;Saint-Denis Porte de Paris;SAINT-DENIS-PORTE DE PARIS;93066;Saint-Denis;93;
48.825159632, 2.27373677133;"{""type"": ""Polygon"", ""coordinates"": [[[2.273629556695759, 48.825496798629835], [2.274230667021223, 48.82480894502661], [2.274092435684509, 48.824762876861286], [2.273938886057425, 48.82481620095151], [2.273408606083184, 48.82542121221255], [2.272989154649356, 48.82526632164766], [2.272948925771436, 48.825308315755045], [2.27333075059949, 48.82545162939264], [2.273409997516094, 48.825454490682525], [2.273547192219703, 48.82550172699977], [2.273629556695759, 48.825496798629835]]]}";484;Mairie d'Issy;44050;Mairie d'Issy;70671;Mairie d'Issy;MAIRIE D'ISSY;92040;Issy-les-Moulineaux;92;Oui
48.8365106715, 2.70883690478;"{""type"": ""Polygon"", ""coordinates"": [[[2.709402001140643, 48.836769976231494], [2.709511724878555, 48.83639826632823], [2.708270464158637, 48.83625059686843], [2.70816513882327, 48.8366245548993], [2.709402001140643, 48.836769976231494]]]}";110;Bussy-Saint-Georges;58874;Bussy-Saint-Georges (Gare);68105;Bussy-Saint-Georges (Gare);BUSSY-SAINT-GEORGES;77058;Bussy-Saint-Georges;77;Oui
48.8062331726, 2.47219827551;"{""type"": ""Polygon"", ""coordinates"": [[[2.471487304356237, 48.80656848460663], [2.472977707284575, 48.806015606222836], [2.472890210615597, 48.80590829206726], [2.471468066442533, 48.80642683873861], [2.471487304356237, 48.80656848460663]]]}";754;Saint-Maur Créteil;44801;Saint-Maur Créteil;70393;Saint-Maur Créteil;SAINT-MAUR-CRETEIL;94068;Saint-Maur-des-Fossés;94;
48.565074466, 2.59380693312;"{""type"": ""Polygon"", ""coordinates"": [[[2.59383687904772, 48.56473979994918], [2.593331003536604, 48.56530741123345], [2.593337680575839, 48.56544897659582], [2.593401352624336, 48.56556201030861], [2.593528336851929, 48.56555673204835], [2.593533437346086, 48.56545393016267], [2.593585816048578, 48.565358429567816], [2.593642982608358, 48.56533393831015], [2.594010164460388, 48.56524377806508], [2.59433733279695, 48.56471469798342], [2.594258519117872, 48.56470834101079], [2.593904006979915, 48.56470805705211], [2.59383687904772, 48.56473979994918]]]}";129;Cesson;42516;Cesson (Gare);62176;Cesson (Gare);CESSON;77067;Cesson;77;oui
48.7259935847, 2.25711934786;"{""type"": ""Polygon"", ""coordinates"": [[[2.25754518249878, 48.72619264476569], [2.257631575545278, 48.726142739343096], [2.257153245710673, 48.725699849581495], [2.256979595801843, 48.72563025012218], [2.256609479859657, 48.725749044698865], [2.257156434730155, 48.72640508519398], [2.25754518249878, 48.72619264476569]]]}";511;Massy-Palaiseau -Vilmorin;58774;Massy Palaiseau;63244;Massy Palaiseau;MASSY-PALAISEAU;91377;Massy;91;Oui
48.7773568156, 1.79810366009;"{""type"": ""Polygon"", ""coordinates"": [[[1.798785693834553, 48.77761405586228], [1.798720299027601, 48.77746907993397], [1.797931906678808, 48.777233365936056], [1.797737982869096, 48.7771889064662], [1.797631420938546, 48.77715556665232], [1.797418612333448, 48.777159557335025], [1.797383448991699, 48.77721506880158], [1.798785693834553, 48.77761405586228]]]}";893;Scolaire Montfort-l'Amaury - Ntre-Dame du Bel-Air;44208;Notre Dame du Bel-Air;63686;Notre Dame du Bel-Air;;78420;Montfort-l'Amaury;78;
48.7004400153, 2.0986436752;"{""type"": ""Polygon"", ""coordinates"": [[[2.098920231622, 48.70018675203898], [2.098242242733866, 48.70035093476946], [2.098409698365217, 48.70051117684351], [2.098430650589691, 48.70063970499536], [2.098477831888709, 48.70069547992505], [2.09891400893728, 48.70058646733831], [2.098920231622, 48.70018675203898]]]}";202;Courcelle sur Yvette;47050;11 Novembre - Courcelle-sur-Yvette;62951;Courcelle-sur-Yvette (Gare);COURCELLE-SUR-YVETTE;91272;Gif-sur-Yvette;91;Oui
48.833106799, 2.28664545238;"{""type"": ""Polygon"", ""coordinates"": [[[2.287136847759566, 48.833034312600354], [2.287165209027615, 48.83278592270686], [2.286083573618684, 48.833185175653036], [2.286277969606376, 48.83340796737209], [2.287136847759566, 48.833034312600354]]]}";673;Porte de Versailles;49515;Porte de Versailles;71045;Porte de Versailles;PORTE DE VERSAILLES;75115;Paris 15e;75;
48.7721269573, 2.50646868769;"{""type"": ""Polygon"", ""coordinates"": [[[2.505417384723331, 48.77282397424407], [2.505517816542144, 48.77285375918124], [2.505837503775767, 48.7722520431663], [2.506397018712227, 48.77207930859174], [2.506468930313853, 48.77208912411756], [2.506691056543731, 48.77266116508332], [2.506930030643538, 48.77266976693803], [2.506985319399763, 48.771695276693116], [2.506895984217041, 48.771700619198015], [2.506804507432515, 48.77162789962549], [2.506805011118365, 48.77157459659419], [2.506534288954545, 48.771573478591634], [2.506409187502873, 48.77170622407927], [2.506405240031399, 48.771894141378134], [2.505759067317878, 48.772089211325394], [2.505583766120347, 48.77245853205913], [2.505417384723331, 48.77282397424407]]]}";800;Sucy-Bonneuil TCSP Ouest;58792;Sucy Bonneuil;72929;Sucy Bonneuil;SUCY-BONNEUIL;94071;Sucy-en-Brie;94;Oui
48.527931499, 2.65525131784;"{""type"": ""Polygon"", ""coordinates"": [[[2.654259885748059, 48.528083227557616], [2.654199716960722, 48.528078292875044], [2.654152529835162, 48.52806101860382], [2.654095377554382, 48.528033242404824], [2.654165109704192, 48.528109610044936], [2.654236557383792, 48.528143140121514], [2.655263779989422, 48.528000967977455], [2.655544135565191, 48.52800086036499], [2.655645473182458, 48.52798449282067], [2.655698512285686, 48.527956680292704], [2.655760909785574, 48.527867605533416], [2.655822069603692, 48.52783088992701], [2.655952319759956, 48.52777711940925], [2.655977571074594, 48.527751605720304], [2.655837482492103, 48.52772887985177], [2.655277926401026, 48.527811991878416], [2.655236077759624, 48.52785471303676], [2.655211366453603, 48.527907004142406], [2.655217560468699, 48.52794112069884], [2.654259885748059, 48.528083227557616]]]}";518;Melun Gallieni (nord des voies);47909;Melun (Gare);61926;Melun (Gare);MELUN;77288;Melun;77;Non
48.4366327565, 2.15981731635;"{""type"": ""Polygon"", ""coordinates"": [[[2.159418539497013, 48.43658210865846], [2.160020840647737, 48.43681895628304], [2.16005188637089, 48.43679607028805], [2.160253266173123, 48.43678061025903], [2.160171676450121, 48.43668741907871], [2.159581309368694, 48.436418708825315], [2.159418539497013, 48.43658210865846]]]}";257;Etampes;43080;Étampes (Gare);59577;Étampes (Gare);ETAMPES;91223;Étampes;91;Oui
48.8768608662, 2.40826022483;"{""type"": ""Polygon"", ""coordinates"": [[[2.407391002966628, 48.8765150354985], [2.408502718304489, 48.87690996061675], [2.408460617231357, 48.877043598907775], [2.408203106547224, 48.87739407548604], [2.408417004690492, 48.87745613060214], [2.40868296000661, 48.877093601119284], [2.408895100892605, 48.876861486829696], [2.40747477483044, 48.876381247637646], [2.407391002966628, 48.8765150354985]]]}";676;Porte des Lilas - rue Charles Cros (ancienne);44529;Porte des Lilas;71889;Porte des Lilas;PORTE DES LILAS;75120;Paris 20e;75;Non
48.8771869053, 2.40912458647;"{""type"": ""Polygon"", ""coordinates"": [[[2.408506197804195, 48.877480466510626], [2.408869344881028, 48.87758397527138], [2.40919238705824, 48.87712110062778], [2.409797584904909, 48.87729255276036], [2.409917449902245, 48.87711841117524], [2.409026513296502, 48.87684850899867], [2.408737381305707, 48.877161684756615], [2.408506197804195, 48.877480466510626]]]}";675;Porte des Lilas - Place Marquis du Vercors;44529;Porte des Lilas;71889;Porte des Lilas;PORTE DES LILAS;75120;Paris 20e;75;Oui
48.9634178883, 2.37094093094;"{""type"": ""Polygon"", ""coordinates"": [[[2.370374431758564, 48.96321816123742], [2.371299443503791, 48.96380519066694], [2.37140922776365, 48.963705160455824], [2.371456950854998, 48.96358359039994], [2.37061790531573, 48.96304527394511], [2.370374431758564, 48.96321816123742]]]}";624;Pierrefitte-Stains;43179;Pierrefitte Stains (Gare);72787;Pierrefitte Stains (Gare);PIERREFITTE-STAINS;93059;Pierrefitte-sur-Seine;93;Oui
48.688375286, 2.38205658387;"{""type"": ""Polygon"", ""coordinates"": [[[2.381509232190736, 48.68810010408071], [2.382570316587281, 48.68880490253558], [2.382676187292886, 48.68887024465777], [2.38270200534704, 48.68882041756481], [2.382654930020651, 48.688767505722296], [2.382245493618105, 48.68843296279411], [2.382243095565681, 48.68838159002865], [2.381734902774443, 48.68803930088606], [2.381520914349994, 48.68801603351299], [2.381509232190736, 48.68810010408071]]]}";366;Juvisy (Condorcet);45739;Juvisy (Gare);62737;Juvisy (Gare);JUVISY;91326;Juvisy-sur-Orge;91;non
48.6255223626, 2.42819414199;"{""type"": ""Polygon"", ""coordinates"": [[[2.428294656956656, 48.62505683402616], [2.427987129902731, 48.62507630207449], [2.428011313021188, 48.62522873736402], [2.427899244675935, 48.625233911115565], [2.428033817406895, 48.62595790514219], [2.428124605143106, 48.625949528431256], [2.428497164962286, 48.625924318271686], [2.428351703368344, 48.62514604919545], [2.428294656956656, 48.62505683402616]]]}";262;Evry-Courcouronne (urbaine);47906;Évry Courcouronnes;60450;Évry Courcouronnes;EVRY-COURCOURONNES;91228;Évry;91;Oui
48.8236443357, 2.54316571671;"{""type"": ""Polygon"", ""coordinates"": [[[2.543156125467336, 48.823726456111956], [2.543290404229409, 48.82381635214779], [2.544383894391266, 48.82406011522142], [2.544509836466448, 48.82387558360761], [2.543271358009374, 48.823563917404115], [2.542720945117468, 48.823440272270126], [2.541440899367977, 48.823168232856816], [2.541406988832101, 48.82326671616532], [2.542145140524195, 48.823433471504714], [2.542567360276215, 48.82357250724533], [2.542739120864065, 48.823608858042746], [2.543078210245034, 48.82367321296189], [2.54317549330133, 48.8236753689687], [2.543156125467336, 48.823726456111956]]]}";873;Villiers-sur-Marne-le Plessis-Trévise;43223;Villiers-sur-Marne Le Plessis-Trévise;73097;Villiers-sur-Marne Le Plessis-Trévise;VILLIERS-SUR-MARNE-PLESSIS-TREVISE;94079;Villiers-sur-Marne;94;Oui
49.0103155524, 2.55939459586;"{""type"": ""Polygon"", ""coordinates"": [[[2.558655022296057, 49.01054524361235], [2.558848644954518, 49.010562110519196], [2.559722782137472, 49.01063825191903], [2.559759775818399, 49.01067793111728], [2.559759598378434, 49.01069886669599], [2.559982235892263, 49.0107168129195], [2.560024661287558, 49.010490472638764], [2.560120050145558, 49.01015964430694], [2.559993569557748, 49.01006211042245], [2.558955746658941, 49.00995742582563], [2.558750630957559, 49.010051033904794], [2.558655022296057, 49.01054524361235]]]}";6;Roissypole;43240;Aéroport CDG 1 Terminal 3 Roissypole;73596;Aéroport CDG 1 Terminal 3 Roissypole;AEROPORT CHARLES DE GAULLE 1;93073;Tremblay-en-France;93;Oui
48.9540955655, 2.30157827001;"{""type"": ""Polygon"", ""coordinates"": [[[2.301604051358842, 48.95426824919487], [2.301802486274684, 48.954301148437494], [2.301967106590124, 48.95420136920921], [2.301300199039787, 48.95382811878087], [2.301206447370615, 48.95383991136705], [2.301498369293187, 48.95422946739552], [2.301604051358842, 48.95426824919487]]]}";246;Epinay-sur-Seine;43077;Épinay-sur-Seine (Gare);72383;Épinay-sur-Seine (Gare);EPINAY-SUR-SEINE;93031;Épinay-sur-Seine;93;
48.8975283726, 2.38714844996;"{""type"": ""Polygon"", ""coordinates"": [[[2.385682672125442, 48.89749946790457], [2.385744463856431, 48.897554270734304], [2.385860122660749, 48.897557285749876], [2.386820119662083, 48.89759610718487], [2.387843092454939, 48.89758923210589], [2.38830427955076, 48.897568583211424], [2.38830198640736, 48.89745112462038], [2.38593235842169, 48.89749486150765], [2.385682672125442, 48.89749946790457]]]}";664;Porte de la Villette;44518;Porte de La Villette;72430;Porte de La Villette;PORTE DE LA VILLETTE;75119;Paris 19e;75;Oui
48.8813765236, 2.35757328997;"{""type"": ""Polygon"", ""coordinates"": [[[2.356899617734561, 48.88056546643659], [2.356918885415416, 48.880697926304414], [2.357668651337755, 48.88227920512975], [2.358292887875594, 48.88218416503047], [2.357455164436729, 48.880449377936664], [2.356899617734561, 48.88056546643659]]]}";294;Paris-Gare du Nord;42415;Cail - Demarquay;73793;Cail - Demarquay;GARE DU NORD;75110;Paris 10e;75;Oui
48.7065184643, 2.19127469688;"{""type"": ""Polygon"", ""coordinates"": [[[2.191722599061667, 48.70589161305296], [2.191339488697093, 48.706378150468936], [2.191023797469075, 48.706694301561164], [2.190740947303432, 48.706961792858905], [2.190503936878145, 48.70712565617974], [2.190583871270605, 48.707165229025044], [2.190829932399325, 48.706972698251285], [2.190958299408731, 48.70694977023186], [2.191301251508694, 48.706630333944794], [2.191701876451871, 48.70620847516381], [2.191802291354866, 48.70607841957792], [2.191722599061667, 48.70589161305296]]]}";406;Orsay-le Guichet;43232;Le Guichet;63025;Le Guichet;LE GUICHET;91471;Orsay;91;Non
48.5630083633, 2.49175418693;"{""type"": ""Polygon"", ""coordinates"": [[[2.492637147195512, 48.562510335369474], [2.490963264413131, 48.56324949898068], [2.491010325969868, 48.56329925108], [2.491435516746307, 48.56326338404537], [2.49192933111742, 48.563171377085354], [2.491866543116428, 48.563092586785444], [2.492007040868812, 48.56301974543225], [2.4921378988931, 48.56286388867109], [2.492443891003678, 48.56271194286657], [2.492637147195512, 48.562510335369474]]]}";885;David Douillet-Le Coudray-Montceaux;44929;Terminal David Douillet;59926;Terminal David Douillet;;91179;Le Coudray-Montceaux;91;
48.8212320043, 2.46403789625;"{""type"": ""Polygon"", ""coordinates"": [[[2.464055548795829, 48.81994909228482], [2.463925276748177, 48.82044447631153], [2.46396680663542, 48.82083404677389], [2.464112037390856, 48.8212651408068], [2.464477533777419, 48.82217655718604], [2.464327997486822, 48.822261845532715], [2.464145178311445, 48.82224085088457], [2.464118963556907, 48.82219380432016], [2.463775602442336, 48.821521222055004], [2.463634708089915, 48.821135096777354], [2.463572328324547, 48.82086244355753], [2.463480366866993, 48.8201225710693], [2.463282188254099, 48.820072622808], [2.463411591731044, 48.82081858677156], [2.463807508825498, 48.82190105384224], [2.46404239979016, 48.82233816520288], [2.464233838055483, 48.822403439490095], [2.46458072572892, 48.82231183472077], [2.46464426115304, 48.82222522392852], [2.464672045353885, 48.82201001501377], [2.464558172804635, 48.8218043194238], [2.46407632610738, 48.820366438664685], [2.464262544336756, 48.82000427443855], [2.464055548795829, 48.81994909228482]]]}";358;Joinville-le-Pont;43135;Joinville-le-Pont (Gare);70640;Joinville-le-Pont (Gare);JOINVILLE-LE-PONT;75112;Paris 12e;75;Oui
